,SID,test_type/trial,target_value,user_input,time,start_time
246,102,Night Training/5,21234,4,1690860501385,1690860477851
247,102,Night Training/5,21234,2,1690860501844,1690860477851
248,102,Night Training/5,21234,1,1690860502142,1690860477851
249,102,Night Training/5,21234,2,1690860502593,1690860477851
250,102,Night Training/5,21234,3,1690860503127,1690860477851
251,102,Night Training/5,21234,4,1690860503402,1690860477851
252,102,Night Training/5,21234,2,1690860503885,1690860477851
253,102,Night Training/5,21234,1,1690860504384,1690860477851
254,102,Night Training/5,21234,1,1690860504784,1690860477851
255,102,Night Training/5,21234,2,1690860505287,1690860477851
256,102,Night Training/5,21234,3,1690860505752,1690860477851
257,102,Night Training/5,21234,4,1690860506154,1690860477851
258,102,Night Training/5,21234,2,1690860506669,1690860477851
259,102,Night Training/5,21234,1,1690860507194,1690860477851
260,102,Night Training/6,21234,2,1690860539810,1690860537398
261,102,Night Training/6,21234,1,1690860540127,1690860537398
262,102,Night Training/6,21234,2,1690860540451,1690860537398
263,102,Night Training/6,21234,3,1690860540793,1690860537398
264,102,Night Training/6,21234,4,1690860541059,1690860537398
265,102,Night Training/6,21234,2,1690860541393,1690860537398
266,102,Night Training/6,21234,2,1690860542150,1690860537398
267,102,Night Training/6,21234,3,1690860542591,1690860537398
268,102,Night Training/6,21234,4,1690860542816,1690860537398
269,102,Night Training/6,21234,2,1690860543084,1690860537398
270,102,Night Training/6,21234,1,1690860543450,1690860537398
271,102,Night Training/6,21234,2,1690860543786,1690860537398
272,102,Night Training/6,21234,3,1690860544185,1690860537398
273,102,Night Training/6,21234,4,1690860544500,1690860537398
274,102,Night Training/6,21234,1,1690860545202,1690860537398
275,102,Night Training/6,21234,4,1690860546325,1690860537398
276,102,Night Training/6,21234,2,1690860546660,1690860537398
277,102,Night Training/6,21234,1,1690860547001,1690860537398
278,102,Night Training/6,21234,2,1690860547333,1690860537398
279,102,Night Training/6,21234,3,1690860547667,1690860537398
280,102,Night Training/6,21234,4,1690860547958,1690860537398
281,102,Night Training/6,21234,2,1690860548300,1690860537398
282,102,Night Training/6,21234,1,1690860548716,1690860537398
283,102,Night Training/6,21234,2,1690860549058,1690860537398
284,102,Night Training/6,21234,3,1690860549470,1690860537398
285,102,Night Training/6,21234,4,1690860549750,1690860537398
286,102,Night Training/6,21234,1,1690860550483,1690860537398
287,102,Night Training/6,21234,2,1690860550923,1690860537398
288,102,Night Training/6,21234,4,1690860551616,1690860537398
289,102,Night Training/6,21234,2,1690860552000,1690860537398
290,102,Night Training/6,21234,1,1690860552317,1690860537398
291,102,Night Training/6,21234,2,1690860552901,1690860537398
292,102,Night Training/6,21234,4,1690860553576,1690860537398
293,102,Night Training/6,21234,2,1690860553918,1690860537398
294,102,Night Training/6,21234,1,1690860554334,1690860537398
295,102,Night Training/6,21234,2,1690860554634,1690860537398
296,102,Night Training/6,21234,4,1690860555310,1690860537398
297,102,Night Training/6,21234,2,1690860555683,1690860537398
298,102,Night Training/6,21234,1,1690860556073,1690860537398
299,102,Night Training/6,21234,2,1690860556375,1690860537398
300,102,Night Training/6,21234,3,1690860556843,1690860537398
301,102,Night Training/6,21234,4,1690860557176,1690860537398
302,102,Night Training/6,21234,2,1690860557591,1690860537398
303,102,Night Training/6,21234,3,1690860559133,1690860537398
304,102,Night Training/6,21234,4,1690860559499,1690860537398
305,102,Night Training/6,21234,2,1690860560308,1690860537398
306,102,Night Training/6,21234,1,1690860560658,1690860537398
307,102,Night Training/6,21234,2,1690860560983,1690860537398
308,102,Night Training/6,21234,3,1690860561308,1690860537398
309,102,Night Training/6,21234,4,1690860561641,1690860537398
310,102,Night Training/6,21234,2,1690860562008,1690860537398
311,102,Night Training/6,21234,1,1690860562317,1690860537398
312,102,Night Training/6,21234,2,1690860562667,1690860537398
313,102,Night Training/6,21234,3,1690860563034,1690860537398
314,102,Night Training/6,21234,4,1690860563324,1690860537398
315,102,Night Training/6,21234,2,1690860563692,1690860537398
316,102,Night Training/6,21234,1,1690860564034,1690860537398
317,102,Night Training/6,21234,3,1690860565141,1690860537398
318,102,Night Training/6,21234,4,1690860565367,1690860537398
319,102,Night Training/6,21234,2,1690860566342,1690860537398
320,102,Night Training/6,21234,1,1690860566634,1690860537398
321,102,Night Training/6,21234,2,1690860566983,1690860537398
322,102,Night Training/6,21234,3,1690860567324,1690860537398
323,102,Night Training/7,21234,2,1690860598356,1690860596945
324,102,Night Training/7,21234,1,1690860598666,1690860596945
325,102,Night Training/7,21234,2,1690860598991,1690860596945
326,102,Night Training/7,21234,3,1690860599331,1690860596945
327,102,Night Training/7,21234,4,1690860599641,1690860596945
328,102,Night Training/7,21234,2,1690860600031,1690860596945
329,102,Night Training/7,21234,1,1690860600356,1690860596945
330,102,Night Training/7,21234,2,1690860600699,1690860596945
331,102,Night Training/7,21234,3,1690860601072,1690860596945
332,102,Night Training/7,21234,4,1690860601414,1690860596945
333,102,Night Training/7,21234,2,1690860601914,1690860596945
334,102,Night Training/7,21234,1,1690860602224,1690860596945
335,102,Night Training/7,21234,2,1690860602548,1690860596945
336,102,Night Training/7,21234,3,1690860602906,1690860596945
337,102,Night Training/7,21234,4,1690860603240,1690860596945
338,102,Night Training/7,21234,2,1690860603990,1690860596945
339,102,Night Training/7,21234,1,1690860604307,1690860596945
340,102,Night Training/7,21234,2,1690860604614,1690860596945
341,102,Night Training/7,21234,3,1690860604938,1690860596945
342,102,Night Training/7,21234,4,1690860605256,1690860596945
343,102,Night Training/7,21234,2,1690860606032,1690860596945
344,102,Night Training/7,21234,1,1690860606272,1690860596945
345,102,Night Training/7,21234,2,1690860606689,1690860596945
346,102,Night Training/7,21234,3,1690860606999,1690860596945
347,102,Night Training/7,21234,4,1690860607349,1690860596945
348,102,Night Training/7,21234,2,1690860607789,1690860596945
349,102,Night Training/7,21234,1,1690860608049,1690860596945
350,102,Night Training/7,21234,2,1690860608330,1690860596945
351,102,Night Training/7,21234,3,1690860608649,1690860596945
352,102,Night Training/7,21234,1,1690860609514,1690860596945
353,102,Night Training/7,21234,2,1690860610330,1690860596945
354,102,Night Training/7,21234,1,1690860611122,1690860596945
355,102,Night Training/7,21234,2,1690860611431,1690860596945
356,102,Night Training/7,21234,3,1690860611737,1690860596945
357,102,Night Training/7,21234,4,1690860611980,1690860596945
358,102,Night Training/7,21234,2,1690860612480,1690860596945
359,102,Night Training/7,21234,1,1690860612829,1690860596945
360,102,Night Training/7,21234,2,1690860613113,1690860596945
361,102,Night Training/7,21234,3,1690860613397,1690860596945
362,102,Night Training/7,21234,4,1690860613646,1690860596945
363,102,Night Training/7,21234,2,1690860614172,1690860596945
364,102,Night Training/7,21234,1,1690860614429,1690860596945
365,102,Night Training/7,21234,2,1690860614712,1690860596945
366,102,Night Training/7,21234,2,1690860616497,1690860596945
367,102,Night Training/7,21234,1,1690860616713,1690860596945
368,102,Night Training/7,21234,2,1690860617006,1690860596945
369,102,Night Training/7,21234,3,1690860617364,1690860596945
370,102,Night Training/7,21234,2,1690860618988,1690860596945
371,102,Night Training/7,21234,1,1690860619196,1690860596945
372,102,Night Training/7,21234,2,1690860619405,1690860596945
373,102,Night Training/7,21234,3,1690860619721,1690860596945
374,102,Night Training/7,21234,4,1690860619905,1690860596945
375,102,Night Training/7,21234,2,1690860620713,1690860596945
376,102,Night Training/7,21234,2,1690860621463,1690860596945
377,102,Night Training/7,21234,3,1690860621822,1690860596945
378,102,Night Training/7,21234,2,1690860622945,1690860596945
379,102,Night Training/7,21234,1,1690860623222,1690860596945
380,102,Night Training/7,21234,2,1690860623646,1690860596945
381,102,Night Training/7,21234,3,1690860624004,1690860596945
382,102,Night Training/7,21234,2,1690860624878,1690860596945
383,102,Night Training/7,21234,3,1690860625831,1690860596945
384,102,Night Training/7,21234,4,1690860626188,1690860596945
385,102,Night Training/7,21234,1,1690860626856,1690860596945
386,102,Night Training/8,21234,2,1690860658587,1690860656475
387,102,Night Training/8,21234,1,1690860658860,1690860656475
388,102,Night Training/8,21234,2,1690860659187,1690860656475
389,102,Night Training/8,21234,3,1690860659504,1690860656475
390,102,Night Training/8,21234,4,1690860659778,1690860656475
391,102,Night Training/8,21234,2,1690860660779,1690860656475
392,102,Night Training/8,21234,3,1690860661146,1690860656475
393,102,Night Training/8,21234,4,1690860661445,1690860656475
394,102,Night Training/8,21234,2,1690860661878,1690860656475
395,102,Night Training/8,21234,1,1690860662160,1690860656475
396,102,Night Training/8,21234,2,1690860662468,1690860656475
397,102,Night Training/8,21234,3,1690860662795,1690860656475
398,102,Night Training/8,21234,4,1690860663110,1690860656475
399,102,Night Training/8,21234,2,1690860663646,1690860656475
400,102,Night Training/8,21234,1,1690860663936,1690860656475
401,102,Night Training/8,21234,2,1690860664212,1690860656475
402,102,Night Training/8,21234,3,1690860664570,1690860656475
403,102,Night Training/8,21234,4,1690860664845,1690860656475
404,102,Night Training/8,21234,2,1690860665537,1690860656475
405,102,Night Training/8,21234,1,1690860665793,1690860656475
406,102,Night Training/8,21234,2,1690860666193,1690860656475
407,102,Night Training/8,21234,3,1690860666477,1690860656475
408,102,Night Training/8,21234,4,1690860666878,1690860656475
409,102,Night Training/8,21234,2,1690860667453,1690860656475
410,102,Night Training/8,21234,1,1690860667739,1690860656475
411,102,Night Training/8,21234,2,1690860668194,1690860656475
412,102,Night Training/8,21234,3,1690860668561,1690860656475
413,102,Night Training/8,21234,2,1690860670236,1690860656475
414,102,Night Training/8,21234,1,1690860670536,1690860656475
415,102,Night Training/8,21234,2,1690860670811,1690860656475
416,102,Night Training/8,21234,3,1690860671193,1690860656475
417,102,Night Training/8,21234,4,1690860671679,1690860656475
418,102,Night Training/8,21234,2,1690860672278,1690860656475
419,102,Night Training/8,21234,1,1690860672552,1690860656475
420,102,Night Training/8,21234,2,1690860672961,1690860656475
421,102,Night Training/8,21234,4,1690860673920,1690860656475
422,102,Night Training/8,21234,2,1690860674512,1690860656475
423,102,Night Training/8,21234,1,1690860674703,1690860656475
424,102,Night Training/8,21234,2,1690860675044,1690860656475
425,102,Night Training/8,21234,3,1690860675320,1690860656475
426,102,Night Training/8,21234,4,1690860675611,1690860656475
427,102,Night Training/8,21234,2,1690860676394,1690860656475
428,102,Night Training/8,21234,1,1690860676702,1690860656475
429,102,Night Training/8,21234,2,1690860677011,1690860656475
430,102,Night Training/8,21234,3,1690860677393,1690860656475
431,102,Night Training/8,21234,4,1690860677677,1690860656475
432,102,Night Training/8,21234,2,1690860678219,1690860656475
433,102,Night Training/8,21234,1,1690860678612,1690860656475
434,102,Night Training/8,21234,2,1690860679053,1690860656475
435,102,Night Training/8,21234,3,1690860679461,1690860656475
436,102,Night Training/8,21234,4,1690860679760,1690860656475
437,102,Night Training/8,21234,2,1690860680386,1690860656475
438,102,Night Training/8,21234,1,1690860680685,1690860656475
439,102,Night Training/8,21234,2,1690860680968,1690860656475
440,102,Night Training/8,21234,3,1690860681285,1690860656475
441,102,Night Training/8,21234,4,1690860681534,1690860656475
442,102,Night Training/8,21234,2,1690860682469,1690860656475
443,102,Night Training/8,21234,1,1690860682736,1690860656475
444,102,Night Training/8,21234,2,1690860683019,1690860656475
445,102,Night Training/8,21234,3,1690860683318,1690860656475
446,102,Night Training/8,21234,4,1690860683594,1690860656475
447,102,Night Training/8,21234,2,1690860684494,1690860656475
448,102,Night Training/8,21234,1,1690860684811,1690860656475
449,102,Night Training/8,21234,2,1690860685102,1690860656475
450,102,Night Training/8,21234,3,1690860685519,1690860656475
